Key,en,es,ar,fr,hi
Withdraw Gateway Edit,Withdraw Gateway Edit,Editar pasarela de retiro,تعديل بوابة السحب,Retirer la passerelle Modifier,गेटवे संपादन वापस लें
Automatic Withdraw Gateway,Automatic Withdraw Gateway,Pasarela de retiro automático,بوابة السحب التلقائي,Passerelle de retrait automatique,स्वचालित निकासी गेटवे
Automatic Withdraw Edit,Automatic Withdraw Edit,Edición de retiro automático,تعديل السحب التلقائي,Modification du retrait automatique,स्वचालित निकासी संपादित करें
No Items Available,No Items Available,No hay artículos disponibles,لا يوجد عناصر متاحة,Aucun article disponible,कोई आइटम उपलब्ध नहीं है
Please follow the mimimum limit,Please follow the minimum limit,"Por favor, respete el límite mínimo",يرجى اتباع الحد الأدنى,Veuillez respecter la limite minimale,कृपया न्यूनतम सीमा का पालन करें
Please follow the maximum limit,Please follow the maximum limit,"Por favor, respete el límite máximo.",يرجى الالتزام بالحد الأقصى,Veuillez respecter la limite maximale,कृपया अधिकतम सीमा का पालन करें
No Gateway Available,No Gateway Available,No hay puerta de enlace disponible,لا توجد بوابة متاحة,Aucune passerelle disponible,कोई गेटवे उपलब्ध नहीं है
Gift Card,Gift Card,Tarjeta de regalo,بطاقة هدية,Carte-cadeau,उपहार कार्ड
My Gift Card,My Gift Card,Mi tarjeta de regalo,بطاقة الهدايا الخاصة بي,Ma carte-cadeau,मेरा उपहार कार्ड
Gift Cards,Gift Cards,Tarjetas de regalo,بطاقات الهدايا,Cartes-cadeaux,उपहार कार्ड
Card Name,Card Name,Nombre de la tarjeta,اسم البطاقة,Nom de la carte,कार्ड का नाम
Card Images,Card Image,Imagen de la tarjeta,صورة البطاقة,Image de la carte,कार्ड की छवि
receiver Email,Receiver Email,Correo electrónico del receptor,البريد الإلكتروني للمستلم,E-mail du destinataire,प्राप्तकर्ता ईमेल
Receiver Phone,Receiver Phone,Teléfono receptor,هاتف الاستقبال,Téléphone récepteur,रिसीवर फ़ोन
Card Unit Price,Card Unit Price,Precio unitario de la tarjeta,سعر وحدة البطاقة,Prix ​​unitaire de la carte,कार्ड यूनिट मूल्य
Card Quantity,Card Quantity,Cantidad de tarjetas,كمية البطاقة,Quantité de cartes,कार्ड की मात्रा
Card Total Price,Card Total Price,Precio total de la tarjeta,السعر الإجمالي للبطاقة,Prix ​​total de la carte,कार्ड की कुल कीमत
Payable Unit Price,Payable Unit Price,Precio unitario a pagar,سعر الوحدة المستحق,Prix ​​unitaire à payer,देय इकाई मूल्य
Gift Card Details,Gift Card Details,Detalles de la tarjeta de regalo,تفاصيل بطاقة الهدايا,Détails de la carte-cadeau,उपहार कार्ड विवरण
The system wallet does not have the currency code for the product currency code,The system wallet does not have the currency code for the product currency code,La billetera del sistema no tiene el código de moneda para el código de moneda del producto,لا تحتوي محفظة النظام على رمز العملة لرمز عملة المنتج,Le portefeuille système ne dispose pas du code de devise correspondant au code de devise du produit,सिस्टम वॉलेट में उत्पाद मुद्रा कोड के लिए मुद्रा कोड नहीं है
Select an amount between,Select an amount between,Seleccione una cantidad entre,حدد المبلغ بين,Sélectionnez un montant entre,के बीच एक राशि का चयन करें
enter Receiver Email Address,Enter Receiver Email Address,Ingrese la dirección de correo electrónico del destinatario,أدخل عنوان البريد الإلكتروني للمستلم,Saisissez l'adresse e-mail du destinataire,प्राप्तकर्ता का ईमेल पता दर्ज करें
From Name,From Name,De Nombre,من الاسم,De Nom,नाम से
Your Name,Your Name,Su nombre,اسمك,Votre nom,आपका नाम
Buy Gift Card,Buy Gift Card,Comprar tarjeta de regalo,شراء بطاقة هدية,Acheter une carte-cadeau,उपहार कार्ड खरीदें
Product Name,Product Name,Nombre del producto,اسم المنتج,Nom du produit,प्रोडक्ट का नाम
Receiver Country,Receiver Country,País receptor,بلد المتلقي,Pays destinataire,प्राप्तकर्ता देश
Amount Field Is Required,Amount Field Is Required,El campo de cantidad es obligatorio,حقل المبلغ مطلوب,Le champ Montant est obligatoire,राशि फ़ील्ड आवश्यक है
Receiver Email Field Is Required,Receiver Email Field Is Required,El campo de correo electrónico del destinatario es obligatorio,حقل البريد الإلكتروني للمستلم مطلوب,Le champ e-mail du destinataire est obligatoire,प्राप्तकर्ता ईमेल फ़ील्ड आवश्यक है
Invalid Email Format,Invalid Email Format,Formato de correo electrónico no válido,تنسيق البريد الإلكتروني غير صالح,Format d'e-mail invalide,अमान्य ईमेल प्रारूप
Country Field Is Required,Country Field Is Required,El campo País es obligatorio,حقل البلد مطلوب,Le champ Pays est obligatoire,देश फ़ील्ड आवश्यक है
Receiver Phone Field Is Required,Receiver Phone Field Is Required,El campo Teléfono del receptor es obligatorio,حقل هاتف المتلقي مطلوب,Le champ Téléphone du destinataire est obligatoire,रिसीवर फ़ोन फ़ील्ड आवश्यक है
From Name Field Is Required,From Name Field Is Required,El campo Nombre es obligatorio,من حقل الاسم مطلوب,Le champ Nom de l'expéditeur est obligatoire,नाम फ़ील्ड आवश्यक है
Gift Card Api,Gift Card Api,API de tarjeta de regalo,واجهة برمجة تطبيقات بطاقة الهدايا,API de carte-cadeau,उपहार कार्ड एपीआई
Gift Card Logs,Gift Card Logs,Registros de tarjetas de regalo,سجلات بطاقات الهدايا,Journaux de cartes-cadeaux,उपहार कार्ड लॉग
Setup Gift Card Api,Setup Gift Card Api,Configurar la API de tarjeta de regalo,إعداد واجهة برمجة تطبيقات بطاقة الهدايا,Configurer l'API de la carte-cadeau,गिफ्ट कार्ड एपीआई सेटअप करें
Production URL,Production URL,URL de producción,رابط الإنتاج,URL de production,उत्पादन URL
Sandbox URL,Sandbox URL,URL de la zona de pruebas,عنوان URL لصندوق الرمل,URL du bac à sable,सैंडबॉक्स URL
Webhook URL,Webhook URL,URL del webhook,عنوان URL لـ Webhook,URL du webhook,वेबहुक यूआरएल
Api ENV,Api ENV,API ENV,بيئة برمجة التطبيقات,API ENV,एपीआई ईएनवी
Gift Card API Has Been Updated.,Gift Card API Has Been Updated.,Se ha actualizado la API de tarjetas de regalo.,تم تحديث واجهة برمجة تطبيقات بطاقة الهدايا.,L'API des cartes-cadeaux a été mise à jour.,गिफ्ट कार्ड एपीआई को अपडेट कर दिया गया है.
Sender Country Is Not Valid,Sender Country Is Not Valid,El país del remitente no es válido,بلد المرسل غير صالح,Le pays de l'expéditeur n'est pas valide,प्रेषक देश मान्य नहीं है
Receiver Country Is Not Valid,Receiver Country Is Not Valid,El país receptor no es válido,بلد المتلقي غير صالح,Le pays du destinataire n'est pas valide,प्राप्तकर्ता देश मान्य नहीं है
You don't have sufficient balance,You don't have sufficient balance,No tienes saldo suficiente,ليس لديك رصيد كافي,Vous n'avez pas un solde suffisant,आपके पास पर्याप्त बैलेंस नहीं है
Gift Card Order,Gift Card Order,Pedido de tarjeta de regalo,طلب بطاقة هدية,Commande de carte-cadeau,उपहार कार्ड ऑर्डर
Your Gift Card Order Has Been Successfully Processed,Your Gift Card Order Has Been Successfully Processed,Su pedido de tarjeta de regalo se ha procesado correctamente,لقد تمت معالجة طلب بطاقة الهدايا الخاصة بك بنجاح,Votre commande de carte-cadeau a été traitée avec succès,आपका उपहार कार्ड ऑर्डर सफलतापूर्वक संसाधित हो गया है
Gift Details For,Gift Details For,Detalles del regalo para,تفاصيل الهدية لـ,Détails du cadeau pour,उपहार विवरण
Card Currency,Card Currency,Moneda de la tarjeta,عملة البطاقة,Devise de la carte,कार्ड मुद्रा
Card Api Currency,Card Api Currency,Moneda de la API de tarjeta,عملة واجهة برمجة التطبيقات للبطاقة,Devise de l'API de la carte,कार्ड एपीआई मुद्रा
Api Discount,Api Discount,Descuento de API,خصم API,Remise API,एपीआई छूट
Api Fee,Api Fee,Tarifa de API,رسوم واجهة برمجة التطبيقات,Frais d'API,एपीआई शुल्क
Api Sms Fee,Api Sms Fee,Tarifa de SMS de API,رسوم الرسائل النصية القصيرة API,Frais d'API SMS,एपीआई एसएमएस शुल्क
Api Total Fee,Api Total Fee,Tarifa total de API,إجمالي رسوم API,Frais totaux de l'API,एपीआई कुल शुल्क
Api Trx Id,Api Trx Id,Identificación de transacción de API,معرف معاملة API,ID de transaction API,एपीआई ट्रैक्स आईडी
Total Gift Cards,Total Gift Cards,Tarjetas de regalo totales,إجمالي بطاقات الهدايا,Total des cartes-cadeaux,कुल उपहार कार्ड
Narration,Narration,Narración,السرد,Narration,वर्णन
Thank you for using our application!,Thank you for using our application!,¡Gracias por utilizar nuestra aplicación!,شكرا لاستخدامك تطبيقنا!,Merci d'utiliser notre application !,हमारे एप्लिकेशन का उपयोग करने के लिए धन्यवाद!
Your Gift Card Email Details,"Your Gift Card Order Has Been Successfully Processed, Details of Gift Card Order",Su pedido de tarjeta de regalo se ha procesado correctamente. Detalles del pedido de tarjeta de regalo.,لقد تمت معالجة طلب بطاقة الهدية الخاص بك بنجاح، تفاصيل طلب بطاقة الهدية,Votre commande de carte-cadeau a été traitée avec succès. Détails de la commande de carte-cadeau,"आपका गिफ्ट कार्ड ऑर्डर सफलतापूर्वक संसाधित हो गया है, गिफ्ट कार्ड ऑर्डर का विवरण"
Send Email Details,"Your Send Money Request Send Successfully, Details Of Send Money","Su solicitud de envío de dinero se envió correctamente, detalles del envío de dinero",تم إرسال طلبك لإرسال الأموال بنجاح، تفاصيل إرسال الأموال,Votre demande d'envoi d'argent a été envoyée avec succès. Détails de l'envoi d'argent.,"आपका धन भेजने का अनुरोध सफलतापूर्वक भेजा गया, धन भेजने का विवरण"
Hello,Hello,Hola,مرحبًا,Bonjour,नमस्ते
Date And Time,Date And Time,Fecha y hora,التاريخ والوقت,Date et heure,तिथि और समय
Receive Money Details,"You Got Received Money Successfully, Details Of Rreceived Money","Recibió dinero exitosamente, detalles del dinero recibido",لقد استلمت الأموال بنجاح، تفاصيل الأموال المستلمة,Vous avez bien reçu votre argent ; détails de l'argent reçu,"आपको सफलतापूर्वक धन प्राप्त हो गया, प्राप्त धन का विवरण"
AppLGiftCard,Gift Card,Tarjeta de regalo,بطاقة هدية,Carte-cadeau,उपहार कार्ड
AppLGiftCards,Gift Cards,Tarjetas de regalo,بطاقات الهدايا,Cartes-cadeaux,उपहार कार्ड
AppLGiftCardDetails,Gift Card Details,Detalles de la tarjeta de regalo,تفاصيل بطاقة الهدايا,Détails de la carte-cadeau,उपहार कार्ड विवरण
AppLReceiverEmail,Receiver Email,Correo electrónico del receptor,البريد الإلكتروني للمستلم,E-mail du destinataire,प्राप्तकर्ता ईमेल
AppLFromName,From Name,De Nombre,من الاسم,De Nom,नाम से
AppLEnter,Enter,Ingresar,يدخل,Entrer,प्रवेश करना
AppLTrxID,TRX ID,Identificación de TRX,معرف TRX,ID TRX,टीआरएक्स आईडी
Send Request Money Email Details,"Your Request Money Request Send Successfully, Details Of Request Money",Su solicitud de dinero se envió correctamente. Detalles de la solicitud de dinero.,تم إرسال طلبك المالي بنجاح، تفاصيل طلب المال,"Votre demande d'argent a été envoyée avec succès, détails de la demande d'argent","आपका धन अनुरोध सफलतापूर्वक भेजा गया, धन अनुरोध का विवरण"
Receive Request Money Email Details,"You Got A Request Money Request, Details Of Request Money","Recibió una solicitud de dinero, detalles de la solicitud de dinero",لقد حصلت على طلب مبلغ مالي، تفاصيل طلب المال,"Vous avez reçu une demande d'argent, détails de la demande d'argent","आपको एक अनुरोध धन अनुरोध मिला है, अनुरोध धन का विवरण"
Receiver Will Get,Receiver Will Get,El receptor recibirá,سوف يحصل المتلقي على,Le récepteur recevra,प्राप्तकर्ता को मिलेगा
Send Remittance Email Heading,"Send Remittance request to send admin successfully, details of Send Remittance","Enviar solicitud de remesa para enviar al administrador con éxito, detalles de envío de remesa",إرسال طلب التحويل لإرسال الإدارة بنجاح، تفاصيل إرسال التحويل,"Envoyer une demande de remise à l'administrateur avec succès, détails de la remise","व्यवस्थापक को सफलतापूर्वक भेजने के लिए धन प्रेषण अनुरोध भेजें, धन प्रेषण का विवरण"
Receiver Name,Receiver Name,Nombre del receptor,اسم المستلم,Nom du destinataire,प्राप्तकर्ता का नाम
Add Money Via,Add Money Via,Agregar dinero a través de,إضافة الأموال عبر,Ajouter de l'argent via,पैसे जोड़ें
Your add money request successful via,Your add money request successful via,Su solicitud de agregar dinero fue exitosa a través de,لقد تم بنجاح طلب إضافة الأموال الخاص بك عبر,Votre demande d'ajout d'argent a réussi via,आपका धन जोड़ने का अनुरोध सफल रहा
details of add money,details of add money,detalles de agregar dinero,تفاصيل إضافة الأموال,détails de l'ajout d'argent,पैसे जोड़ने का विवरण
Manual Add Money Heading,Manual Add Money Heading,Encabezado de agregar dinero manualmente,إضافة عنوان المال يدويًا,Ajout manuel d'une rubrique monétaire,मैन्युअल रूप से पैसे जोड़ें शीर्षक
Withdraw Money Via,Withdraw Money Via,Retirar dinero a través de,سحب الأموال عبر,Retirer de l'argent via,पैसे निकालें
Withdraw Send Email Heading,Your withdraw money request send successfully via,Su solicitud de retiro de dinero se envió exitosamente a través de,تم إرسال طلب سحب الأموال الخاص بك بنجاح عبر,Votre demande de retrait d'argent a été envoyée avec succès via,आपका धन निकासी अनुरोध सफलतापूर्वक भेजा गया
details of withdraw money,details of withdraw money,detalles de retirar dinero,تفاصيل سحب الأموال,détails du retrait d'argent,पैसे निकालने का विवरण
Make Payment Email Sender Heading,"Your payment amount request send successfully, details of make payment","Su solicitud de monto de pago se envió exitosamente, detalles para realizar el pago",تم إرسال طلب مبلغ الدفع الخاص بك بنجاح، تفاصيل إجراء الدفع,"Votre demande de montant de paiement a été envoyée avec succès, détails du paiement","आपका भुगतान राशि अनुरोध सफलतापूर्वक भेज दिया गया है, भुगतान का विवरण भेजें"
Receiver Make Payment Email Heading,"You got payment successfully, details of payment money","Recibió el pago exitosamente, detalles del pago de dinero",لقد حصلت على الدفع بنجاح، تفاصيل أموال الدفع,"Vous avez reçu le paiement avec succès, détails du paiement","आपको भुगतान सफलतापूर्वक प्राप्त हो गया, भुगतान राशि का विवरण"
Money Out From,Money Out From,Dinero que sale de,الأموال الخارجة من,Argent sorti de,पैसा बाहर से
Sender Money Out Email Heading,"Your Money Out Request Send Successfully, Details Of Money Out","Su solicitud de retiro de dinero se envió correctamente, detalles del retiro de dinero",تم إرسال طلب سحب أموالك بنجاح، تفاصيل سحب الأموال,"Votre demande de retrait d'argent a été envoyée avec succès, détails du retrait d'argent","आपका धन निकासी अनुरोध सफलतापूर्वक भेजा गया, धन निकासी का विवरण"
Receiver Money Out Email Heading,"You Got Received Money Successfully, Details Of Money Out","Recibió dinero exitosamente, detalles del retiro de dinero",لقد استلمت الأموال بنجاح، تفاصيل الأموال الصادرة,"Vous avez bien reçu votre argent, détails de la sortie d'argent","आपको सफलतापूर्वक धनराशि प्राप्त हो गई, धनराशि निकासी का विवरण"
Virtual Card (Buy Card),Virtual Card (Buy Card),Tarjeta Virtual (Comprar Tarjeta),بطاقة افتراضية (شراء بطاقة),Carte virtuelle (Acheter une carte),वर्चुअल कार्ड (खरीद कार्ड)
Create Virtual Card Email Heading,"Your virtual create successfully, details of virtual card","Tu virtual creada con éxito, detalles de la tarjeta virtual",تم إنشاء بطاقتك الافتراضية بنجاح، تفاصيل البطاقة الافتراضية,"Votre création virtuelle a réussi, détails de la carte virtuelle","आपका वर्चुअल कार्ड सफलतापूर्वक बना, वर्चुअल कार्ड का विवरण"
Virtual Card (Fund Amount),Virtual Card (Fund Amount),Tarjeta virtual (monto del fondo),البطاقة الافتراضية (مبلغ الرصيد),Carte virtuelle (montant du fonds),वर्चुअल कार्ड (निधि राशि)
Card Fund Email Heading,"Your virtual funded successfully, details of virtual card","Tu tarjeta virtual se financió con éxito, detalles de la tarjeta virtual",تم تمويل بطاقتك الإفتراضية بنجاح، تفاصيل البطاقة الإفتراضية,"Votre carte virtuelle financée avec succès, détails de la carte virtuelle","आपका वर्चुअल फंड सफलतापूर्वक जमा हो गया है, वर्चुअल कार्ड का विवरण"
Bill Pay For,Bill Pay For,Pago de facturas para,دفع الفاتورة,Paiement de factures pour,बिल भुगतान के लिए
Sender Bill Pay Email Heading,Your Bill pay request sent to admin successfully for,Su solicitud de pago de factura se envió al administrador con éxito para,تم إرسال طلب دفع الفاتورة الخاص بك إلى المسؤول بنجاح,Votre demande de paiement de facture a été envoyée à l'administrateur avec succès pour,आपका बिल भुगतान अनुरोध सफलतापूर्वक व्यवस्थापक को भेज दिया गया
details of bill pay, details of bill pay,detalles del pago de facturas,تفاصيل دفع الفاتورة,détails du paiement des factures,बिल भुगतान का विवरण
Mobile Top Up For,Mobile Top Up For,Recarga de móvil para,شحن رصيد الهاتف المحمول,Recharge mobile pour,मोबाइल टॉप अप के लिए
Sender Mobile top Up Email Heading,Your Mobile Top Up request send to admin successful for,Su solicitud de recarga móvil enviada al administrador fue exitosa,تم إرسال طلب شحن هاتفك المحمول إلى المسؤول بنجاح,Votre demande de recharge mobile envoyée à l'administrateur a réussi pour,आपका मोबाइल टॉप अप अनुरोध एडमिन को भेजा गया सफल
details of mobile top up,details of mobile top up,detalles de recarga móvil,تفاصيل شحن الهاتف المحمول,détails de la recharge mobile,मोबाइल टॉप अप का विवरण
Payment Link Transaction via,Payment Link Transaction via,Transacción de enlace de pago mediante,رابط الدفع للمعاملة عبر,Transaction de lien de paiement via,भुगतान लिंक लेनदेन के माध्यम से
Your payment request successfully via,Your payment request successfully via,Su solicitud de pago se realizó con éxito a través de,تم طلب الدفع الخاص بك بنجاح عبر,Votre demande de paiement a été traitée avec succès via,आपका भुगतान अनुरोध सफलतापूर्वक
details of transactions,details of transactions,detalles de las transacciones,تفاصيل المعاملات,détails des transactions,लेनदेन का विवरण
Need to verify your account before access your dashboard,Need to verify your account before access your dashboard,Necesita verificar su cuenta antes de acceder a su panel de control,يجب عليك التحقق من حسابك قبل الوصول إلى لوحة التحكم الخاصة بك,Vous devez vérifier votre compte avant d'accéder à votre tableau de bord,अपने डैशबोर्ड तक पहुँचने से पहले अपने खाते को सत्यापित करना आवश्यक है
Your verification code,Your verification code,Su código de verificación,رمز التحقق الخاص بك,Votre code de vérification,आपका सत्यापन कोड
Verification Code (Password Reset),Verification Code (Password Reset),Código de verificación (restablecimiento de contraseña),رمز التحقق (إعادة تعيين كلمة المرور),Code de vérification (réinitialisation du mot de passe),सत्यापन कोड (पासवर्ड रीसेट)
You trying to reset your password,You trying to reset your password,Estás intentando restablecer tu contraseña,تحاول إعادة تعيين كلمة المرور الخاصة بك,Vous essayez de réinitialiser votre mot de passe,आप अपना पासवर्ड रीसेट करने का प्रयास कर रहे हैं
Here is your OTP,Here is your OTP,Aquí está tu OTP,هذا هو رمز OTP الخاص بك,Voici votre OTP,यह रहा आपका ओटीपी
Verification Code ( Register ),Verification Code ( Register ),Código de verificación (Registrarse),رمز التحقق (التسجيل),Code de vérification (inscription),सत्यापन कोड ( रजिस्टर )
You are trying to verify code for register.,You are trying to verify code for register.,Estás intentando verificar el código para registrarte.,تحاول التحقق من الكود للتسجيل.,Vous essayez de vérifier le code pour l'enregistrement.,आप रजिस्टर के लिए कोड सत्यापित करने का प्रयास कर रहे हैं।
Sender Money In Email Heading,"Your Money In Request Send Successfully, Details Of Money In","Su solicitud de dinero se envió correctamente, detalles del dinero ingresado",تم إرسال طلبك بنجاح، تفاصيل الأموال في,"Votre demande d'argent a été envoyée avec succès, détails de l'argent reçu","आपका धन अनुरोध सफलतापूर्वक भेजा गया, धन का विवरण"
Receiver Money In Email Heading,"You Got Received Money Successfully, Details Of Money In","Recibió dinero exitosamente, detalles del dinero en",لقد استلمت الأموال بنجاح، تفاصيل الأموال في,"Vous avez reçu de l'argent avec succès, détails de l'argent dans","आपको सफलतापूर्वक धन प्राप्त हो गया, धन का विवरण"
"Send Remittance successful, details of Send Remittance","Send Remittance successful, details of Send Remittance","Envío de remesa exitoso, detalles del envío de remesa",تم إرسال الحوالة بنجاح، تفاصيل إرسال الحوالة,"Envoi de la remise réussi, détails de l'envoi de la remise","धन प्रेषण सफल, धन प्रेषण का विवरण"
Admin Approved Your Add Money Request via,Admin Approved Your Add Money Request via,El administrador aprobó su solicitud para agregar dinero a través de,وافق المسؤول على طلب إضافة الأموال الخاص بك عبر,L'administrateur a approuvé votre demande d'ajout d'argent via,एडमिन ने आपके पैसे जोड़ने के अनुरोध को मंज़ूरी दे दी है
"Admin Approved Your Remittance Request, Details Of Send Remittance","Admin Approved Your Remittance Request, Details Of Send Remittance",El administrador aprobó su solicitud de remesa. Detalles del envío.,وافق المسؤول على طلب التحويل الخاص بك، تفاصيل إرسال الحوالة,L'administrateur a approuvé votre demande de versement. Détails de l'envoi.,"व्यवस्थापक ने आपके धन-प्रेषण अनुरोध को स्वीकृत कर दिया है, धन-प्रेषण भेजने का विवरण"
"Admin Rejected Your Remittance Request,Details Of Send Remittance","Admin Rejected Your Remittance Request,Details Of Send Remittance",El administrador rechazó su solicitud de remesa. Detalles del envío de la remesa.,لقد رفض المسؤول طلب التحويل الخاص بك، تفاصيل إرسال الحوالة,L'administrateur a rejeté votre demande de versement. Détails de l'envoi de versement.,"एडमिन ने आपका धन प्रेषण अनुरोध अस्वीकार कर दिया है, धन प्रेषण भेजने का विवरण"
Admin Rejected Your Add Money Request Via,Admin Rejected Your Add Money Request Via,El administrador rechazó su solicitud para agregar dinero a través de,لقد رفض المسؤول طلب إضافة الأموال عبر,L'administrateur a rejeté votre demande d'ajout d'argent via,एडमिन ने आपके पैसे जोड़ने के अनुरोध को अस्वीकार कर दिया
Admin approved your withdraw money request,Admin approved your withdraw money request,El administrador aprobó su solicitud de retiro de dinero,وافق المشرف على طلب سحب الأموال الخاص بك,L'administrateur a approuvé votre demande de retrait d'argent,एडमिन ने आपके पैसे निकालने के अनुरोध को मंज़ूरी दे दी है
Admin rejected your withdraw money request,Admin rejected your withdraw money request,El administrador rechazó su solicitud de retiro de dinero,لقد رفض المشرف طلب سحب الأموال الخاص بك,L'administrateur a rejeté votre demande de retrait d'argent,व्यवस्थापक ने आपके पैसे निकालने के अनुरोध को अस्वीकार कर दिया
Admin approved your bill pay request,Admin approved your bill pay request,El administrador aprobó su solicitud de pago de factura,وافق المسؤول على طلب دفع الفاتورة الخاص بك,L'administrateur a approuvé votre demande de paiement de facture,व्यवस्थापक ने आपके बिल भुगतान अनुरोध को स्वीकृत कर दिया है
Admin rejected your bill pay request,Admin rejected your bill pay request,El administrador rechazó su solicitud de pago de factura,لقد رفض المسؤول طلب دفع الفاتورة الخاص بك,L'administrateur a rejeté votre demande de paiement de facture,व्यवस्थापक ने आपके बिल भुगतान अनुरोध को अस्वीकार कर दिया
Admin approved your mobile top up request,Admin approved your mobile top up request,El administrador aprobó su solicitud de recarga móvil,وافق المسؤول على طلب شحن هاتفك المحمول,L'administrateur a approuvé votre demande de recharge mobile,व्यवस्थापक ने आपके मोबाइल टॉप-अप अनुरोध को मंज़ूरी दे दी है
Your KYC verification request is approved by admin,Your KYC verification request is approved by admin,Su solicitud de verificación KYC ha sido aprobada por el administrador,تمت الموافقة على طلب التحقق من KYC الخاص بك من قبل المسؤول,Votre demande de vérification KYC est approuvée par l'administrateur,आपका KYC सत्यापन अनुरोध व्यवस्थापक द्वारा स्वीकृत कर दिया गया है
Your KYC verification request is rejected by admin,Your KYC verification request is rejected by admin,Su solicitud de verificación KYC es rechazada por el administrador,تم رفض طلب التحقق من KYC الخاص بك من قبل المسؤول,Votre demande de vérification KYC est rejetée par l'administrateur,आपका KYC सत्यापन अनुरोध व्यवस्थापक द्वारा अस्वीकार कर दिया गया है
Hey,Hey,Ey,يا,Hé,अरे
Google 2FA,Google 2FA,Google 2FA,المصادقة الثنائية من جوجل,Google 2FA,गूगल 2FA
2FA Authentication,2FA Authentication,Autenticación 2FA,مصادقة 2FA,Authentification 2FA,2FA प्रमाणीकरण
2FA Settings,2FA Settings,Configuración de 2FA,إعدادات 2FA,Paramètres 2FA,2FA सेटिंग्स
Disable Two Factor Authenticator,Disable Two Factor Authenticator,Deshabilitar el autenticador de dos factores,تعطيل المصادقة الثنائية,Désactiver l'authentificateur à deux facteurs,दो कारक प्रमाणक अक्षम करें
Enable Two Factor Authenticator,Enable Two Factor Authenticator,Habilitar el autenticador de dos factores,تمكين المصادقة الثنائية,Activer l'authentificateur à deux facteurs,दो-कारक प्रमाणक सक्षम करें
Copied,Copied,Copiado,تم نسخها,Copié,कॉपी किया गया
Please Verify 2FA Authentication,Please Verify 2FA Authentication,Por favor verifique la autenticación 2FA,يرجى التحقق من مصادقة 2FA,Veuillez vérifier l'authentification 2FA,कृपया 2FA प्रमाणीकरण सत्यापित करें
Authentication Code,Authentication Code,Código de autenticación,رمز المصادقة,Code d'authentification,प्रमाणीकरण कोड
If something wrong with your authentication process you can reset your password to get the dashboard access,If something wrong with your authentication process you can reset your password to get the dashboard access,"Si hay algún problema con su proceso de autenticación, puede restablecer su contraseña para obtener acceso al panel de control.",إذا كان هناك خطأ في عملية المصادقة الخاصة بك، فيمكنك إعادة تعيين كلمة المرور الخاصة بك للحصول على إمكانية الوصول إلى لوحة المعلومات,"Si quelque chose ne va pas avec votre processus d'authentification, vous pouvez réinitialiser votre mot de passe pour accéder au tableau de bord.","यदि आपकी प्रमाणीकरण प्रक्रिया में कुछ गड़बड़ी है, तो आप डैशबोर्ड तक पहुंच प्राप्त करने के लिए अपना पासवर्ड रीसेट कर सकते हैं"
Bill Pay Method,Bill Pay Method,Método de pago de facturas,طريقة دفع الفاتورة,Méthode de paiement des factures,बिल भुगतान विधि
Method Already Exists!,Method Already Exists!,¡El método ya existe!,الطريقة موجودة بالفعل!,La méthode existe déjà !,विधि पहले से ही मौजूद है!
Method Saved Successfully!,Method Saved Successfully!,¡Método guardado exitosamente!,تم حفظ الطريقة بنجاح!,Méthode enregistrée avec succès !,विधि सफलतापूर्वक सहेजी गई!
Method Updated Successfully!,Method Updated Successfully!,¡Método actualizado exitosamente!,تم تحديث الطريقة بنجاح!,Méthode mise à jour avec succès !,विधि सफलतापूर्वक अपडेट की गई!
Method record not found in our system.,Method record not found in our system.,Registro de método no encontrado en nuestro sistema.,لم يتم العثور على سجل الطريقة في نظامنا.,Enregistrement de méthode non trouvé dans notre système.,हमारे सिस्टम में विधि रिकॉर्ड नहीं मिला.
Method status updated successfully!,Method status updated successfully!,¡Estado del método actualizado exitosamente!,تم تحديث حالة الطريقة بنجاح!,Le statut de la méthode a été mis à jour avec succès !,विधि स्थिति सफलतापूर्वक अद्यतन!
Method deleted successfully!,Method deleted successfully!,¡Método eliminado exitosamente!,تم حذف الطريقة بنجاح!,Méthode supprimée avec succès !,विधि सफलतापूर्वक हटा दी गई!
Setup Bill Pay Method,Setup Bill Pay Method,Configurar el método de pago de facturas,إعداد طريقة دفع الفاتورة,Configurer le mode de paiement des factures,बिल भुगतान विधि सेटअप करें
Add Method,Add Method,Agregar método,إضافة طريقة,Ajouter une méthode,विधि जोड़ें
Method Name,Method Name,Nombre del método,اسم الطريقة,Nom de la méthode,विधि का नाम
delete_text,Are you sure to delete,¿Estás seguro de eliminarlo?,هل أنت متأكد من الحذف؟,Êtes-vous sûr de vouloir supprimer,क्या वाकई हटाना है
Edit Method,Edit Method,Método de edición,طريقة التحرير,Méthode d'édition,संपादन विधि
Add New Method,Add New Method,Agregar nuevo método,إضافة طريقة جديدة,Ajouter une nouvelle méthode,नई विधि जोड़ें
Setup Bill Pay Api,Setup Bill Pay Api,Configurar la API de pago de facturas,إعداد واجهة برمجة تطبيقات دفع الفاتورة,Configurer l'API Bill Pay,बिल भुगतान एपीआई सेटअप करें
Bill Pay API Has Been Updated.,Bill Pay API Has Been Updated.,Se ha actualizado la API de pago de facturas.,تم تحديث واجهة برمجة تطبيقات الدفع بالفواتير.,L'API de paiement de factures a été mise à jour.,बिल भुगतान एपीआई को अद्यतन किया गया है।
